0	0.3832	0.3333	0.3596
52	0.8066	1.424	0.541
78	1.482	3.586	0.9113
99	2.283	6.365	1.359
117	3.171	9.55	1.871
134	4.216	13.36	2.462
149	5.292	17.31	3.072
163	6.376	21.51	3.733
176	7.58	26	4.382
189	8.848	30.93	5.152
201	10.18	35.92	5.929
212	11.54	40.84	6.671
224	12.96	46.63	7.531
234	14.31	51.72	8.297
245	16.04	57.93	9.264
255	17.35	63.63	10.11
